carrier	outbound_fare_family	ods
9K	Value	5
AA	BASIC ECONOMY	1031
AA	Basic Economy	927
AA	MAIN CABIN	696
AA	Main Cabin	658
AA	Unknown	114
AA	Economy	49
AA	ECONOMY	34
AA	null	6
AA	FIRST	2
AS	SAVER	494
AS	PARTNER MAIN	88
AS	Economy	79
AS	MAIN	51
AS	REFUNDABLE MAIN	24
AS	HA PARTNER MAIN	5
B6	BLUE BASIC	273
B6		38
B6	BASIC ECONOMY	28
B6	BLUE	10
B6	Unknown	5
DL	DELTA MAIN BASIC	1197
DL	DELTA MAIN	272
DL	DELTA MAIN CLASSIC	261
DL	Basic Economy	73
DL	Economy	18
DL	ECONOMY	18
EK		1
F9	STANDARD	328
F9	DISCOUNT	299
F9	ECONOMY	22
F9		19
G4		714
G4	standard	71
HA	MAIN CABIN BASIC	361
HA		63
HA	BASIC ECONOMY	30
HA	ECONOMY	9
HA	Main Cabin	9
HA	Unknown	6
HA	MAIN CABIN	2
MX		316
NK		276
NK	Unknown	262
NK	Value	72
SY	Unknown	86
SY		27
UA	ECO-BASIC	1286
UA	ECONOMY	175
UA	Basic Economy	135
UA	FIRST	2
VC	MAIN	2
WN	Basic	394
WN	WGA	205
WN	Wanna Get Away Plus	9
WN	PLU	2
XE	ECONOMY	4
XP	ECONOMY	104
